pair_id,audio_file,transcript_file,speaker_id,speaker_name,gender,age,dialect,governorate,transcript,normalized_text,audio_processed,segmented,aligned,alignment_score,source,language,country,remarks,audio_valid,duration_sec,sample_rate,channels,bit_depth,rms,peak,silence_ratio,validation_message,exists,readable,utf8,empty,duplicated,characters,words,lines,status,message,transcript_valid,pair_valid,text_processed,text_status,processed_sample_rate,processed_duration,processing_status,issues,warnings,validation_status,dataset_type,segmentation_required,segmentation_decision,segments,segmentation_status,segment_validation,alignment_ready,preparation_status,alignment_status,alignment_validation,feature_extracted,feature_type,feature_file,feature_shape,feature_status,feature_message
PAIR_000001,IQ_000001.wav,IQ_000001.txt,,,,,,,الحلم من نوع العراق يتحول الي بلد خالي من النقل,الحلم من نوع العراق يتحول الي بلد خالي من النقل,True,False,False,1.0,,Arabic,Iraq,,True,3.783,16000,1,PCM_16,0.041212,0.314087,0.062566,OK,True,True,True,False,False,48,10,1,Valid,,True,True,True,Processed,16000,3.719,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000001.npy,"(39, 117)",Saved,Feature file saved successfully
PAIR_000002,IQ_000002.wav,IQ_000002.txt,,,,,,,90% مننا حركات كال,90% مننا حركات كال,True,False,False,1.0,,Arabic,Iraq,,True,1.979,16000,1,PCM_16,0.0298,0.228638,0.126137,OK,True,True,True,False,False,19,4,1,Valid,,True,True,True,Processed,16000,1.947,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000002.npy,"(39, 61)",Saved,Feature file saved successfully
PAIR_000003,IQ_000003.wav,IQ_000003.txt,,,,,,,لدينا القدرة علي التنافس حتي في المنطقة,لدينا القدرة علي التنافس حتي في المنطقة,True,False,False,1.0,,Arabic,Iraq,,True,2.337,16000,1,PCM_16,0.029887,0.201996,0.134815,OK,True,True,True,False,False,40,7,1,Valid,,True,True,True,Processed,16000,2.337,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000003.npy,"(39, 74)",Saved,Feature file saved successfully
PAIR_000004,IQ_000004.wav,IQ_000004.txt,,,,,,,دفع الالكتروني في دول الجوار البنك المركزي العراقي موضوع العملات الرقمية,دفع الالكتروني في دول الجوار البنك المركزي العراقي موضوع العملات الرقمية,True,False,False,1.0,,Arabic,Iraq,,True,5.835,16000,1,PCM_16,0.035202,0.27301,0.052067,OK,True,True,True,False,False,73,11,1,Valid,,True,True,True,Processed,16000,5.835,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000004.npy,"(39, 183)",Saved,Feature file saved successfully
PAIR_000005,IQ_000005.wav,IQ_000005.txt,,,,,,,حسب علمه يدعوه يدرس,حسب علمه يدعوه يدرس,True,False,False,1.0,,Arabic,Iraq,,True,1.906,16000,1,PCM_16,0.042074,0.24527,0.07319,OK,True,True,True,False,False,20,4,1,Valid,,True,True,True,Processed,16000,1.874,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000005.npy,"(39, 59)",Saved,Feature file saved successfully
PAIR_000006,IQ_000006.wav,IQ_000006.txt,,,,,,,اهلا بكم في البودكاست تجاو,اهلا بكم في البودكاست تجاو,True,False,False,1.0,,Arabic,Iraq,,True,2.568,16000,1,PCM_16,0.073676,0.411621,0.042494,OK,True,True,True,False,False,27,5,1,Valid,,True,True,True,Processed,16000,2.536,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000006.npy,"(39, 80)",Saved,Feature file saved successfully
PAIR_000007,IQ_000007.wav,IQ_000007.txt,,,,,,,اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,True,False,False,1.0,,Arabic,Iraq,,True,5.774,16000,1,PCM_16,0.074784,0.402191,0.033263,OK,True,True,True,False,False,69,12,1,Valid,,True,True,True,Processed,16000,5.774,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000007.npy,"(39, 181)",Saved,Feature file saved successfully
PAIR_000008,IQ_000008.wav,IQ_000008.txt,,,,,,,واحدة من اهم واكبر شركات تكنولوجيا المالية,واحدة من اهم واكبر شركات تكنولوجيا المالية,True,False,False,1.0,,Arabic,Iraq,,True,2.893,16000,1,PCM_16,0.065432,0.403137,0.034631,OK,True,True,True,False,False,43,7,1,Valid,,True,True,True,Processed,16000,2.861,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000008.npy,"(39, 90)",Saved,Feature file saved successfully
PAIR_000009,IQ_000009.wav,IQ_000009.txt,,,,,,,ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,True,False,False,1.0,,Arabic,Iraq,,True,5.615,16000,1,PCM_16,0.06853,0.407257,0.036632,OK,True,True,True,False,False,69,11,1,Valid,,True,True,True,Processed,16000,5.583,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000009.npy,"(39, 175)",Saved,Feature file saved successfully
PAIR_000010,IQ_000010.wav,IQ_000010.txt,,,,,,,سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,True,False,False,1.0,,Arabic,Iraq,,True,8.111,16000,1,PCM_16,0.074188,0.409454,0.030144,OK,True,True,True,False,False,96,15,1,Valid,,True,True,True,Processed,16000,8.111,,,,Valid,already_segmented,False,skip,1,Skipped,Passed,True,Ready,Completed,Passed,True,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000010.npy,"(39, 254)",Saved,Feature file saved successfully
