pair_id,audio_file,feature_file,feature_type,feature_shape,feature_dim,feature_length,label_text,label_length,label_type,duration,sample_rate,dataset_split,dataset_object_status,data_loader_valid,data_loader_validation_status,data_loader_validation_message
PAIR_000050,IQ_000050.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000050.npy,mfcc,"(39, 81)",39,81,زمال والحصان والمعرفة شنو,25,character,2.567,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000064,IQ_000064.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000064.npy,mfcc,"(39, 168)",39,168,رايع جدا جولة حتي التصوير,25,character,5.355,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000024,IQ_000024.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000024.npy,mfcc,"(39, 123)",39,123,نقعد سوي نسولف انا ادري انا كواية نقعد نسولف وبمواضيع مختلف,59,character,3.904,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000051,IQ_000051.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000051.npy,mfcc,"(39, 123)",39,123,فقلت لها احسن شي نفعله، نفعل الفندق بمجموعة بيوت قصاب,53,character,3.92,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000031,IQ_000031.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000031.npy,mfcc,"(39, 74)",39,74,اعتقد انه لم يدخل لانه عندد,27,character,2.339,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000056,IQ_000056.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000056.npy,mfcc,"(39, 65)",39,65,يعني علاقة صدق يعني عنده هوية,29,character,2.049,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000009,IQ_000009.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000009.npy,mfcc,"(39, 175)",39,175,ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,68,character,5.583,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000047,IQ_000047.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000047.npy,mfcc,"(39, 134)",39,134,فندق كونكريت واربع طوابق وعشر طوابق وماعرف شنو,46,character,4.278,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000058,IQ_000058.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000058.npy,mfcc,"(39, 99)",39,99,وكل منطقة ومناطق البعيدة خارج بغداد يعني كلهن,45,character,3.155,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000040,IQ_000040.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000040.npy,mfcc,"(39, 243)",39,243,مناطق جدا رايعة. بالعكس هو الشباب اللي بالخليج دي يجي للصحراء بالعراق والعراقيين يروحون البيروت ويروحون,103,character,7.753,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000016,IQ_000016.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000016.npy,mfcc,"(39, 108)",39,108,التعليم الحديث وشو نمكين احيطبق علي اغذي الواقع,47,character,3.451,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000073,IQ_000073.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000073.npy,mfcc,"(39, 108)",39,108,بس اني خننقول اني ما امثل.. خننقول standard,43,character,3.431,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000060,IQ_000060.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000060.npy,mfcc,"(39, 63)",39,63,نعم، نحن كنا...,15,character,2.006,16000,train,Built,True,Passed,Dataset object validation passed
