pair_id,audio_file,feature_file,feature_type,feature_shape,transcript,normalized_text,training_text,text_length,word_count,duration,sample_rate,record_ready,record_status,record_message,dataset_split,included_in_training,split_status
PAIR_000050,IQ_000050.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000050.npy,mfcc,"(39, 81)",زمال والحصان والمعرفة شنو,زمال والحصان والمعرفة شنو,زمال والحصان والمعرفة شنو,25,4,2.567,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000064,IQ_000064.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000064.npy,mfcc,"(39, 168)",رايع جدا جولة حتي التصوير,رايع جدا جولة حتي التصوير,رايع جدا جولة حتي التصوير,25,5,5.355,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000024,IQ_000024.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000024.npy,mfcc,"(39, 123)",نقعد سوي نسولف انا ادري انا كواية نقعد نسولف وبمواضيع مختلف,نقعد سوي نسولف انا ادري انا كواية نقعد نسولف وبمواضيع مختلف,نقعد سوي نسولف انا ادري انا كواية نقعد نسولف وبمواضيع مختلف,59,11,3.904,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000051,IQ_000051.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000051.npy,mfcc,"(39, 123)",فقلت لها احسن شي نفعله، نفعل الفندق بمجموعة بيوت قصاب,فقلت لها احسن شي نفعله، نفعل الفندق بمجموعة بيوت قصاب,فقلت لها احسن شي نفعله، نفعل الفندق بمجموعة بيوت قصاب,53,10,3.92,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000031,IQ_000031.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000031.npy,mfcc,"(39, 74)",اعتقد انه لم يدخل لانه عندد,اعتقد انه لم يدخل لانه عندد,اعتقد انه لم يدخل لانه عندد,27,6,2.339,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000056,IQ_000056.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000056.npy,mfcc,"(39, 65)",يعني علاقة صدق يعني عنده هوية,يعني علاقة صدق يعني عنده هوية,يعني علاقة صدق يعني عنده هوية,29,6,2.049,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000009,IQ_000009.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000009.npy,mfcc,"(39, 175)",ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,ثانيا لان يقدمها صديقنا الاستاذ محمد الخفاجي موسس شركة Pure Platform,68,11,5.583,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000047,IQ_000047.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000047.npy,mfcc,"(39, 134)",فندق كونكريت واربع طوابق وعشر طوابق وماعرف شنو,فندق كونكريت واربع طوابق وعشر طوابق وماعرف شنو,فندق كونكريت واربع طوابق وعشر طوابق وماعرف شنو,46,8,4.278,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000058,IQ_000058.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000058.npy,mfcc,"(39, 99)",وكل منطقة ومناطق البعيدة خارج بغداد يعني كلهن,وكل منطقة ومناطق البعيدة خارج بغداد يعني كلهن,وكل منطقة ومناطق البعيدة خارج بغداد يعني كلهن,45,8,3.155,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000040,IQ_000040.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000040.npy,mfcc,"(39, 243)",مناطق جدا رايعة. بالعكس هو الشباب اللي بالخليج دي يجي للصحراء بالعراق والعراقيين يروحون البيروت ويروحون,مناطق جدا رايعة. بالعكس هو الشباب اللي بالخليج دي يجي للصحراء بالعراق والعراقيين يروحون البيروت ويروحون,مناطق جدا رايعة. بالعكس هو الشباب اللي بالخليج دي يجي للصحراء بالعراق والعراقيين يروحون البيروت ويروحون,103,16,7.753,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000016,IQ_000016.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000016.npy,mfcc,"(39, 108)",التعليم الحديث وشو نمكين احيطبق علي اغذي الواقع,التعليم الحديث وشو نمكين احيطبق علي اغذي الواقع,التعليم الحديث وشو نمكين احيطبق علي اغذي الواقع,47,8,3.451,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000073,IQ_000073.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000073.npy,mfcc,"(39, 108)",بس اني خننقول اني ما امثل.. خننقول standard,بس اني خننقول اني ما امثل.. خننقول standard,بس اني خننقول اني ما امثل.. خننقول standard,43,8,3.431,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000060,IQ_000060.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000060.npy,mfcc,"(39, 63)",نعم، نحن كنا.,نعم، نحن كنا...,نعم، نحن كنا...,15,3,2.006,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000039,IQ_000039.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000039.npy,mfcc,"(39, 98)",هواي من اصدقايي مثلا نهاييا ما رشاي في الاهوار,هواي من اصدقايي مثلا نهاييا ما رشاي في الاهوار,هواي من اصدقايي مثلا نهاييا ما رشاي في الاهوار,46,9,3.12,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000043,IQ_000043.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000043.npy,mfcc,"(39, 138)",والله مشاريع سياحية اذكرت بضيافة,والله مشاريع سياحية اذكرت بضيافة,والله مشاريع سياحية اذكرت بضيافة,32,5,4.412,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000063,IQ_000063.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000063.npy,mfcc,"(39, 125)",كان فيها فترة فترة هم حقيقة ودون للاهوار,كان فيها فترة فترة هم حقيقة ودون للاهوار,كان فيها فترة فترة هم حقيقة ودون للاهوار,40,8,3.991,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000026,IQ_000026.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000026.npy,mfcc,"(39, 162)",طبعا اليوم مهم من المساعد المحاور جميل كان مفروض يكون يعني,طبعا اليوم مهم من المساعد المحاور جميل كان مفروض يكون يعني,طبعا اليوم مهم من المساعد المحاور جميل كان مفروض يكون يعني,58,11,5.165,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000057,IQ_000057.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000057.npy,mfcc,"(39, 71)",فرص وموارد وطراث,فرص وموارد وطراث,فرص وموارد وطراث,16,3,2.257,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000077,IQ_000077.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000077.npy,mfcc,"(39, 57)",بس انت موجود هنا بالعراق,بس انت موجود هنا بالعراق,بس انت موجود هنا بالعراق,24,5,1.815,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000002,IQ_000002.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000002.npy,mfcc,"(39, 61)",90% مننا حركات كال,90% مننا حركات كال,90% مننا حركات كال,18,4,1.947,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000071,IQ_000071.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000071.npy,mfcc,"(39, 61)",وبالنظر 어,وبالنظر 어,وبالنظر 어,9,2,1.929,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000054,IQ_000054.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000054.npy,mfcc,"(39, 132)",انا اخذ فلوس من الخطار ماتي.. نسي الموضوع قلت له العالم,انا اخذ فلوس من الخطار ماتي.. نسي الموضوع قلت له العالم,انا اخذ فلوس من الخطار ماتي.. نسي الموضوع قلت له العالم,55,11,4.194,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000019,IQ_000019.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000019.npy,mfcc,"(39, 205)",ستتوفر روابط لبرنامج بوصف هذا الفيديو ونشجعكم ان تطلعون عليه وتستمعون لهوقاته,ستتوفر روابط لبرنامج بوصف هذا الفيديو ونشجعكم ان تطلعون عليه وتستمعون لهوقاته,ستتوفر روابط لبرنامج بوصف هذا الفيديو ونشجعكم ان تطلعون عليه وتستمعون لهوقاته,77,12,6.542,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000068,IQ_000068.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000068.npy,mfcc,"(39, 76)",و خيام في الشمال لتقوم بعمل جولات,و خيام في الشمال لتقوم بعمل جولات,و خيام في الشمال لتقوم بعمل جولات,33,7,2.422,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000020,IQ_000020.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000020.npy,mfcc,"(39, 96)",قبل ما نبدين حب نشكر شركاتنا بشركة كيت,قبل ما نبدين حب نشكر شركاتنا بشركة كيت,قبل ما نبدين حب نشكر شركاتنا بشركة كيت,38,8,3.058,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
