pair_id,audio_file,feature_type,feature_file,feature_file_name,feature_shape,feature_saved,feature_status,feature_message,feature_valid,validation_status,validation_message,duration,sample_rate
PAIR_000001,IQ_000001.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000001.npy,IQ_000001.npy,"(39, 117)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,3.719,16000
PAIR_000002,IQ_000002.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000002.npy,IQ_000002.npy,"(39, 61)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,1.947,16000
PAIR_000003,IQ_000003.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000003.npy,IQ_000003.npy,"(39, 74)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,2.337,16000
PAIR_000004,IQ_000004.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000004.npy,IQ_000004.npy,"(39, 183)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,5.835,16000
PAIR_000005,IQ_000005.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000005.npy,IQ_000005.npy,"(39, 59)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,1.874,16000
PAIR_000006,IQ_000006.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000006.npy,IQ_000006.npy,"(39, 80)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,2.536,16000
PAIR_000007,IQ_000007.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000007.npy,IQ_000007.npy,"(39, 181)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,5.774,16000
PAIR_000008,IQ_000008.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000008.npy,IQ_000008.npy,"(39, 90)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,2.861,16000
PAIR_000009,IQ_000009.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000009.npy,IQ_000009.npy,"(39, 175)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,5.583,16000
PAIR_000010,IQ_000010.wav,mfcc,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000010.npy,IQ_000010.npy,"(39, 254)",True,Saved,Feature file saved successfully,True,Passed,Feature validation passed,8.111,16000
